Product_Category_Name,Tong_doanh_thu_nam_2024
Health_Beauty,885191.12
Watches_Gifts,771986.75
Bed_Bath_Table,650794.7
Sports_Leisure,621999.34
Computers_Accessories,594771.04
Housewares,491576.96
Furniture_Decor,476466.13
Auto,404210.57
Baby,299052.56
Cool_Stuff,273910.05
Garden_Tools,259068.32
Telephony,217452.13
Perfumery,204562.54
Toys,200634.07
Office_Furniture,181745.73
Stationery,164743.85
Pet_Shop,152804.94
Construction_Tools_Construction,141187.34
Electronics,134265.45
Musical_Instruments,121476.31
Small_Appliances,97210.18
Home_Appliances_2,96291.6
"#N/A",90849.48
Fashion_Bags_Accessories,85091.28
Luggage_Accessories,77374.65
Consoles_Games,72967.5
Home_Construction,69357.77
Computers,67860.8
Home_Appliances,66460.24
Small_Appliances_Home_Oven_And_Coffee,49297.59
Agro_Industry_And_Commerce,47262.18
Construction_Tools_Lights,43867.84
Furniture_Living_Room,42774.14
Industry_Commerce_And_Business,37332.84
Audio,36258.83
Construction_Tools_Safety,35409.3
Kitchen_Dining_Laundry_Garden_Furniture,34951.25
Books_General_Interest,32252.8
Fixed_Telephony,30497.86
Air_Conditioning,28889.12
Food,25709.75
Home_Confort,24186.81
Signaling_And_Security,22413.09
Drinks,21834.06
Costruction_Tools_Garden,20492.69
Art,17947.63
Books_Technical,16570.43
Furniture_Bedroom,13992.43
Costruction_Tools_Tools,13448.2
Fashion_Shoes,10118.42
Food_Drink,10118.0
Market_Place,9364.01
Christmas_Supplies,8078.5
Cine_Photo,7253.71
Music,4994.58
Books_Imported,4090.71
Party_Supplies,3278.41
Fashion_Underwear_Beach,3116.21
Fashion_Male_Clothing,2810.41
Furniture_Mattress_And_Upholstery,2688.64
Arts_And_Craftmanship,2008.92
Diapers_And_Hygiene,1890.58
Dvds_Blu_Ray,1674.85
Tablets_Printing_Image,1541.83
Flowers,1216.64
La_Cuisine,890.85
Fashio_Female_Clothing,783.37
Fashion_Sport,431.19
Home_Comfort_2,283.91
Fashion_Childrens_Clothes,194.04
Cds_Dvds_Musicals,117.58
